n,p,density,reciprocity,seeds,rounds_per_seed,median_realized_compression,p10_realized_compression,median_worst_saving,p10_worst_saving,mean_excluded_latency_rounds,p95_excluded_latency_rounds,abort_rate,exclusion_round_fraction,unsettled_fraction
10,0.95,1,0.8,200,10,0.8796,0.8624,0.4272,0.2908,1.2139,2.0000,0.1365,0.3080,0.0257
10,0.9,0.5,0,200,10,0.6746,0.6186,0.0000,0.0000,1.6410,4.0000,0.4025,0.4209,0.0861
10,0.9,0.5,0.1,200,10,0.7005,0.6370,0.0000,0.0000,1.6865,4.0000,0.3995,0.4105,0.1055
10,0.9,0.5,0.2,200,10,0.7297,0.6768,0.0000,0.0000,1.6018,4.0000,0.3690,0.4247,0.0979
10,0.9,0.5,0.3,200,10,0.7641,0.7151,0.0000,0.0000,1.6944,4.0000,0.3835,0.4339,0.0840
10,0.9,0.5,0.4,200,10,0.7899,0.7419,0.0517,0.0000,1.7258,4.0000,0.3835,0.4266,0.0794
10,0.9,0.5,0.5,200,10,0.8078,0.7644,0.1002,0.0000,1.6984,4.0000,0.3695,0.4211,0.0712
10,0.9,0.5,0.6,200,10,0.8277,0.7900,0.1334,0.0000,1.7426,4.0000,0.3855,0.4207,0.0788
10,0.9,0.5,0.7,200,10,0.8448,0.8121,0.2042,0.0000,1.6768,4.0000,0.3765,0.4459,0.0733
10,0.9,0.5,0.8,200,10,0.8582,0.8275,0.2688,0.0000,1.7136,4.0000,0.3865,0.4344,0.0846
10,0.9,0.5,0.9,200,10,0.8708,0.8432,0.2920,0.0987,1.6441,4.0000,0.3640,0.4277,0.0762
10,0.9,0.5,1,200,10,0.8849,0.8596,0.3756,0.1903,1.6897,4.0000,0.3895,0.4423,0.0941
10,0.9,0.1,0.8,200,10,0.7116,0.6452,0.0000,0.0000,1.5949,4.0000,0.2296,0.3614,0.0523
10,0.9,0.2,0.8,200,10,0.7843,0.7345,0.0000,0.0000,1.6505,4.0000,0.3285,0.4348,0.0773
10,0.9,0.3,0.8,200,10,0.8140,0.7750,0.0000,0.0000,1.6923,4.0000,0.3685,0.4315,0.1017
10,0.9,0.4,0.8,200,10,0.8437,0.8060,0.1547,0.0000,1.6556,4.0000,0.3765,0.4226,0.0880
10,0.9,0.6,0.8,200,10,0.8698,0.8395,0.3102,0.1542,1.6638,4.0000,0.3685,0.4260,0.0749
10,0.9,0.7,0.8,200,10,0.8785,0.8507,0.3662,0.2161,1.6680,4.0000,0.3725,0.4223,0.0894
10,0.9,0.8,0.8,200,10,0.8859,0.8619,0.4142,0.2818,1.6362,4.0000,0.3745,0.4317,0.0831
10,0.9,0.9,0.8,200,10,0.8958,0.8703,0.4486,0.3174,1.6583,4.0000,0.3835,0.4234,0.0898
10,0.9,1,0.8,200,10,0.8979,0.8813,0.4698,0.3441,1.6789,4.0000,0.3700,0.4397,0.0747
10,0.8,0.5,0,200,10,0.7413,0.6443,0.1188,0.0000,2.6895,6.0000,0.7215,0.6104,0.3600
10,0.8,0.5,0.1,200,10,0.7811,0.6897,0.1367,0.0000,2.7729,7.0000,0.7330,0.6067,0.3722
10,0.8,0.5,0.2,200,10,0.8130,0.7364,0.1860,0.0000,2.7368,6.0000,0.7190,0.5979,0.3285
10,0.8,0.5,0.3,200,10,0.8269,0.7390,0.2564,0.0000,2.6952,6.0000,0.7370,0.5665,0.3739
10,0.8,0.5,0.4,200,10,0.8348,0.7616,0.2963,0.0000,2.6552,6.0000,0.7145,0.5884,0.3512
10,0.8,0.5,0.5,200,10,0.8595,0.7961,0.3538,0.0058,2.7630,7.0000,0.7375,0.5676,0.3694
10,0.8,0.5,0.6,200,10,0.8744,0.8242,0.4534,0.0275,2.8563,7.0000,0.7435,0.5848,0.3589
